OTU,week,n
Fusobacteriota,week_12,0.011693626973299552
Fusobacteriota,week_13,0.005879125186172298
Fusobacteriota,week_14,0.551201110220676
Fusobacteriota,week_15,0.007779074290159471
Fusobacteriota,week_16,0.1290095584354659
Fusobacteriota,week_17,0.3551358101779582
Fusobacteriota,week_18,0
Fusobacteriota,week_19,0
Fusobacteriota,week_20,0
Fusobacteriota,week_21,0
Fusobacteriota,week_22,0
Fusobacteriota,week_23,0
Patescibacteria,week_1,0.7639343611722921
Patescibacteria,week_2,0.14137397835210957
Patescibacteria,week_3,0.5370138017565872
Patescibacteria,week_4,0.07763975155279502
Patescibacteria,week_5,0.39419223441298207
Patescibacteria,week_6,0.010940440243315391
Patescibacteria,week_7,0.019513337366089723
Patescibacteria,week_8,0.11338533419349794
Patescibacteria,week_9,0.007820136852394917
Patescibacteria,week_10,0.25983667409057165
Patescibacteria,week_11,0.008809537792917132
Patescibacteria,week_12,0.027285129604365622
Patescibacteria,week_13,0.8309163596456847
Patescibacteria,week_14,0.1700514063446766
Patescibacteria,week_15,0.042784908595877094
Patescibacteria,week_16,0.06841415977638343
Patescibacteria,week_17,0.11707773961910709
Patescibacteria,week_18,0.014014434867913952
Patescibacteria,week_19,0.037172282596811934
Patescibacteria,week_20,0.013607822553993894
Patescibacteria,week_21,0
Patescibacteria,week_22,0
Patescibacteria,week_23,0
Proteobacteria,week_1,9.39341627477826
Proteobacteria,week_2,7.603269273249393
Proteobacteria,week_3,10.105395232120452
Proteobacteria,week_4,36.580845521939494
Proteobacteria,week_5,26.64739504631759
Proteobacteria,week_6,4.673756071944335
Proteobacteria,week_7,15.13259312740258
Proteobacteria,week_8,44.069751529724556
Proteobacteria,week_9,51.76735092864126
Proteobacteria,week_10,37.35201031532059
Proteobacteria,week_11,4.671991542843719
Proteobacteria,week_12,27.532644708633796
Proteobacteria,week_13,48.71247158422827
Proteobacteria,week_14,31.68233615449268
Proteobacteria,week_15,53.055231427460136
Proteobacteria,week_16,36.20672804394144
Proteobacteria,week_17,55.93584139868874
Proteobacteria,week_18,93.53934552589168
Proteobacteria,week_19,86.003542299871
Proteobacteria,week_20,89.92243541144224
Proteobacteria,week_21,94.5849848449522
Proteobacteria,week_22,98.531211750306
Proteobacteria,week_23,71.56209315430505
Verrucomicrobiota,week_1,0.371053832569399
Verrucomicrobiota,week_2,0.09056770488182019
Verrucomicrobiota,week_3,0.1204516938519448
Verrucomicrobiota,week_4,0.08014425966740132
Verrucomicrobiota,week_5,0.11825767032389461
Verrucomicrobiota,week_6,0
Verrucomicrobiota,week_7,0.02341600483930767
Verrucomicrobiota,week_8,0.1270697710789201
Verrucomicrobiota,week_9,0.11925708699902249
Verrucomicrobiota,week_10,0.1387098034618841
Verrucomicrobiota,week_11,0.11452399130792272
Verrucomicrobiota,week_12,0.03508088091989865
Verrucomicrobiota,week_13,0.14697812965430745
Verrucomicrobiota,week_14,0.1192314458278767
Verrucomicrobiota,week_15,0.16141579152080904
Verrucomicrobiota,week_16,0.6352743407807033
Verrucomicrobiota,week_17,0.017561660942866063
Verrucomicrobiota,week_18,0
Verrucomicrobiota,week_19,0.004373209717271992
Verrucomicrobiota,week_20,0.02332769580684668
