SampleID	id_manifest	location	week	T	PMI	FDD	location_week	pig	rep 	snow_depth
S86	P1I1-7	Interior	week_7	-12	7	452.4	Interior_week_7	Pig1	1	7
S87	P1I1-8	Interior	week_8	-11.3	8	596.8	Interior_week_8	Pig1	1	10
S88	P1I1-9	Interior	week_9	-14.3	9	661.1	Interior_week_9	Pig1	1	20
S99	P1I2-1	Interior	week_1	7.3	1	22.9	Interior_week_1	Pig1	2	2
S89	P1I2-10	Interior	week_10	-15.1	10	794.3	Interior_week_10	Pig1	2	30
S90	P1I2-11	Interior	week_11	-10.3	11	895.3	Interior_week_11	Pig1	2	50
S91	P1I2-12	Interior	week_12	-7.1	12	991.2	Interior_week_12	Pig1	2	55
S92	P1I2-13	Interior	week_13	-8.2	13	1099.9	Interior_week_13	Pig1	2	65
S93	P1I2-14	Interior	week_14	-9.3	14	1208.7	Interior_week_14	Pig1	2	45
S94	P1I2-15	Interior	week_15	-7.8	15	1316.2	Interior_week_15	Pig1	2	70
S95	P1I2-16	Interior	week_16	-5.9	16	1377.7	Interior_week_16	Pig1	2	70
S96	P1I2-17	Interior	week_17	-6.4	17	1441	Interior_week_17	Pig1	2	80
S97	P1I2-18	Interior	week_18	-5.3	18	1421.2	Interior_week_18	Pig1	2	20
S98	P1I2-19	Interior	week_19	1.3	19	1437.5	Interior_week_19	Pig1	2	10
S103	P1I2-2	Interior	week_2	6.3	2	51.5	Interior_week_2	Pig1	2	2
S100	P1I2-20	Interior	week_20	2	20	1430.6	Interior_week_20	Pig1	2	0
S102	P1I2-23	Interior	week_23	6	23	1436.3	Interior_week_23	Pig1	2	0
S104	P1I2-3	Interior	week_3	4.6	3	80.4	Interior_week_3	Pig1	2	0
S105	P1I2-4	Interior	week_4	5.2	4	129.7	Interior_week_4	Pig1	2	2
S106	P1I2-5	Interior	week_5	-7.6	5	228.9	Interior_week_5	Pig1	2	5
S107	P1I2-6	Interior	week_6	-8	6	282.7	Interior_week_6	Pig1	2	6
S108	P1I2-7	Interior	week_7	-12	7	452.4	Interior_week_7	Pig1	2	7
S109	P1I2-8	Interior	week_8	-11.3	8	596.8	Interior_week_8	Pig1	2	10
S110	P1I2-9	Interior	week_9	-14.3	9	661.1	Interior_week_9	Pig1	2	20
S121	P1I3-1	Interior	week_1	7.3	1	22.9	Interior_week_1	Pig1	3	2
S111	P1I3-10	Interior	week_10	-15.1	10	794.3	Interior_week_10	Pig1	3	30
S112	P1I3-11	Interior	week_11	-10.3	11	895.3	Interior_week_11	Pig1	3	50
S113	P1I3-12	Interior	week_12	-7.1	12	991.2	Interior_week_12	Pig1	3	55
S114	P1I3-13	Interior	week_13	-8.2	13	1099.9	Interior_week_13	Pig1	3	65
S115	P1I3-14	Interior	week_14	-9.3	14	1208.7	Interior_week_14	Pig1	3	45
S116	P1I3-15	Interior	week_15	-7.8	15	1316.2	Interior_week_15	Pig1	3	70
S117	P1I3-16	Interior	week_16	-5.9	16	1377.7	Interior_week_16	Pig1	3	70
S118	P1I3-17	Interior	week_17	-6.4	17	1441	Interior_week_17	Pig1	3	80
S119	P1I3-18	Interior	week_18	-5.3	18	1421.2	Interior_week_18	Pig1	3	20
S120	P1I3-19	Interior	week_19	1.3	19	1437.5	Interior_week_19	Pig1	3	10
S125	P1I3-2	Interior	week_2	6.3	2	51.5	Interior_week_2	Pig1	3	2
S122	P1I3-20	Interior	week_20	2	20	1430.6	Interior_week_20	Pig1	3	0
S123	P1I3-22	Interior	week_22	2.4	22	1441.4	Interior_week_22	Pig1	3	5
S124	P1I3-23	Interior	week_23	6	23	1436.3	Interior_week_23	Pig1	3	0
S126	P1I3-3	Interior	week_3	4.6	3	80.4	Interior_week_3	Pig1	3	0
S127	P1I3-4	Interior	week_4	5.2	4	129.7	Interior_week_4	Pig1	3	2
S128	P1I3-5	Interior	week_5	-7.6	5	228.9	Interior_week_5	Pig1	3	5
S129	P1I3-6	Interior	week_6	-8	6	282.7	Interior_week_6	Pig1	3	6
S130	P1I3-7	Interior	week_7	-12	7	452.4	Interior_week_7	Pig1	3	7
S131	P1I3-8	Interior	week_8	-11.3	8	596.8	Interior_week_8	Pig1	3	10
S132	P1I3-9	Interior	week_9	-14.3	9	661.1	Interior_week_9	Pig1	3	20
S142	P2E1-1	Exterior	week_1	7.9	1	22.9	Exterior_week_1	Pig2	1	2
S133	P2E1-10	Exterior	week_10	-11	10	794.3	Exterior_week_10	Pig2	1	80
S134	P2E1-12	Exterior	week_12	-4.3	12	991.2	Exterior_week_12	Pig2	1	90
S135	P2E1-13	Exterior	week_13	-5.3	13	1099.9	Exterior_week_13	Pig2	1	100
S136	P2E1-14	Exterior	week_14	-3.2	14	1208.7	Exterior_week_14	Pig2	1	100
S137	P2E1-15	Exterior	week_15	-5.6	15	1316.2	Exterior_week_15	Pig2	1	130
S138	P2E1-16	Exterior	week_16	-4.5	16	1377.7	Exterior_week_16	Pig2	1	130
S139	P2E1-17	Exterior	week_17	-5	17	1441	Exterior_week_17	Pig2	1	130
S140	P2E1-18	Exterior	week_18	-3	18	1421.2	Exterior_week_18	Pig2	1	70
S141	P2E1-19	Exterior	week_19	0	19	1437.5	Exterior_week_19	Pig2	1	20
S143	P2E1-20	Exterior	week_20	3.1	20	1430.6	Exterior_week_20	Pig2	1	0
S144	P2E1-21	Exterior	week_21	-1.5	21	1420.1	Exterior_week_21	Pig2	1	15
S145	P2E1-22	Exterior	week_22	1.8	22	1441.4	Exterior_week_22	Pig2	1	10
S146	P2E1-23	Exterior	week_23	7.8	23	1436.3	Exterior_week_23	Pig2	1	0
S148	P2E1-3	Exterior	week_3	5.3	3	80.4	Exterior_week_3	Pig2	1	1
S149	P2E1-4	Exterior	week_4	4.6	4	129.7	Exterior_week_4	Pig2	1	3
S150	P2E1-5	Exterior	week_5	-6.3	5	228.9	Exterior_week_5	Pig2	1	40
S151	P2E1-6	Exterior	week_6	-6.9	6	282.7	Exterior_week_6	Pig2	1	30
S152	P2E1-7	Exterior	week_7	-9.3	7	452.4	Exterior_week_7	Pig2	1	30
S153	P2E1-8	Exterior	week_8	-7.6	8	596.8	Exterior_week_8	Pig2	1	30
S154	P2E1-9	Exterior	week_9	-9	9	661.1	Exterior_week_9	Pig2	1	80
S164	P2E2-1	Exterior	week_1	7.9	1	22.9	Exterior_week_1	Pig2	2	2
S155	P2E2-10	Exterior	week_10	-11	10	794.3	Exterior_week_10	Pig2	2	80
S156	P2E2-12	Exterior	week_12	-4.3	12	991.2	Exterior_week_12	Pig2	2	90
S157	P2E2-13	Exterior	week_13	-5.3	13	1099.9	Exterior_week_13	Pig2	2	100
S158	P2E2-14	Exterior	week_14	-3.2	14	1208.7	Exterior_week_14	Pig2	2	100
S159	P2E2-15	Exterior	week_15	-5.6	15	1316.2	Exterior_week_15	Pig2	2	130
S160	P2E2-16	Exterior	week_16	-4.5	16	1377.7	Exterior_week_16	Pig2	2	130
S161	P2E2-17	Exterior	week_17	-5	17	1441	Exterior_week_17	Pig2	2	130
S162	P2E2-18	Exterior	week_18	-3	18	1421.2	Exterior_week_18	Pig2	2	70
S163	P2E2-19	Exterior	week_19	0	19	1437.5	Exterior_week_19	Pig2	2	20
S169	P2E2-2	Exterior	week_2	6.5	2	51.5	Exterior_week_2	Pig2	2	2
S165	P2E2-20	Exterior	week_20	3.1	20	1430.6	Exterior_week_20	Pig2	2	0
