SampleID	id_manifest	location	week	T	PMI	FDD	location_week	pig	rep 	snow_depth
S255	P2I3-22	Interior	week_22	1.8	22	1441.4	Interior_week_22	Pig2	3	10
S256	P2I3-23	Interior	week_23	7.8	23	1436.3	Interior_week_23	Pig2	3	0
S259	P2I3-4	Interior	week_4	4.6	4	129.7	Interior_week_4	Pig2	3	3
S260	P2I3-5	Interior	week_5	-6.3	5	228.9	Interior_week_5	Pig2	3	40
S261	P2I3-6	Interior	week_6	-6.9	6	282.7	Interior_week_6	Pig2	3	30
S262	P2I3-7	Interior	week_7	-9.3	7	452.4	Interior_week_7	Pig2	3	30
S263	P2I3-8	Interior	week_8	-7.6	8	596.8	Interior_week_8	Pig2	3	30
S264	P2I3-9	Interior	week_9	-9	9	661.1	Interior_week_9	Pig2	3	80
S275	P3E1-1	Exterior	week_1	7.7	1	22.9	Exterior_week_1	Pig3	1	2
S265	P3E1-10	Exterior	week_10	-14.6	10	794.3	Exterior_week_10	Pig3	1	30
S266	P3E1-11	Exterior	week_11	-13.1	11	895.3	Exterior_week_11	Pig3	1	40
S267	P3E1-12	Exterior	week_12	-8.3	12	991.2	Exterior_week_12	Pig3	1	50
S268	P3E1-13	Exterior	week_13	-7.6	13	1099.9	Exterior_week_13	Pig3	1	50
S269	P3E1-14	Exterior	week_14	-6.8	14	1208.7	Exterior_week_14	Pig3	1	65
S270	P3E1-15	Exterior	week_15	-9.9	15	1316.2	Exterior_week_15	Pig3	1	55
S271	P3E1-16	Exterior	week_16	-7.8	16	1377.7	Exterior_week_16	Pig3	1	55
S272	P3E1-17	Exterior	week_17	-8.3	17	1441	Exterior_week_17	Pig3	1	60
S273	P3E1-18	Exterior	week_18	-4.5	18	1421.2	Exterior_week_18	Pig3	1	10
S274	P3E1-19	Exterior	week_19	0	19	1437.5	Exterior_week_19	Pig3	1	0
S280	P3E1-2	Exterior	week_2	7.2	2	51.5	Exterior_week_2	Pig3	1	2
S276	P3E1-20	Exterior	week_20	2.5	20	1430.6	Exterior_week_20	Pig3	1	0
S277	P3E1-21	Exterior	week_21	-2.8	21	1420.1	Exterior_week_21	Pig3	1	20
S278	P3E1-22	Exterior	week_22	3.8	22	1441.4	Exterior_week_22	Pig3	1	5
S279	P3E1-23	Exterior	week_23	7	23	1436.3	Exterior_week_23	Pig3	1	0
S281	P3E1-3	Exterior	week_3	6	3	80.4	Exterior_week_3	Pig3	1	0
S282	P3E1-4	Exterior	week_4	5.6	4	129.7	Exterior_week_4	Pig3	1	2
S283	P3E1-5	Exterior	week_5	-7.8	5	228.9	Exterior_week_5	Pig3	1	5
S284	P3E1-6	Exterior	week_6	-7.6	6	282.7	Exterior_week_6	Pig3	1	5
S285	P3E1-7	Exterior	week_7	-10.3	7	452.4	Exterior_week_7	Pig3	1	7
S286	P3E1-8	Exterior	week_8	-9.8	8	596.8	Exterior_week_8	Pig3	1	15
S287	P3E1-9	Exterior	week_9	-13.6	9	661.1	Exterior_week_9	Pig3	1	25
S298	P3E2-1	Exterior	week_1	7.7	1	22.9	Exterior_week_1	Pig3	2	2
S288	P3E2-10	Exterior	week_10	-14.6	10	794.3	Exterior_week_10	Pig3	2	30
S289	P3E2-11	Exterior	week_11	-13.1	11	895.3	Exterior_week_11	Pig3	2	40
S290	P3E2-12	Exterior	week_12	-8.3	12	991.2	Exterior_week_12	Pig3	2	50
S291	P3E2-13	Exterior	week_13	-7.6	13	1099.9	Exterior_week_13	Pig3	2	50
S292	P3E2-14	Exterior	week_14	-6.8	14	1208.7	Exterior_week_14	Pig3	2	65
S293	P3E2-15	Exterior	week_15	-9.9	15	1316.2	Exterior_week_15	Pig3	2	55
S294	P3E2-16	Exterior	week_16	-7.8	16	1377.7	Exterior_week_16	Pig3	2	55
S295	P3E2-17	Exterior	week_17	-8.3	17	1441	Exterior_week_17	Pig3	2	60
S296	P3E2-18	Exterior	week_18	-4.5	18	1421.2	Exterior_week_18	Pig3	2	10
S297	P3E2-19	Exterior	week_19	0	19	1437.5	Exterior_week_19	Pig3	2	0
S303	P3E2-2	Exterior	week_2	7.2	2	51.5	Exterior_week_2	Pig3	2	2
S299	P3E2-20	Exterior	week_20	2.5	20	1430.6	Exterior_week_20	Pig3	2	0
S300	P3E2-21	Exterior	week_21	-2.8	21	1420.1	Exterior_week_21	Pig3	2	20
S301	P3E2-22	Exterior	week_22	3.8	22	1441.4	Exterior_week_22	Pig3	2	5
S302	P3E2-23	Exterior	week_23	7	23	1436.3	Exterior_week_23	Pig3	2	0
S304	P3E2-3	Exterior	week_3	6	3	80.4	Exterior_week_3	Pig3	2	0
S305	P3E2-4	Exterior	week_4	5.6	4	129.7	Exterior_week_4	Pig3	2	2
S306	P3E2-5	Exterior	week_5	-7.8	5	228.9	Exterior_week_5	Pig3	2	5
S307	P3E2-6	Exterior	week_6	-7.6	6	282.7	Exterior_week_6	Pig3	2	5
S308	P3E2-7	Exterior	week_7	-10.3	7	452.4	Exterior_week_7	Pig3	2	7
S309	P3E2-8	Exterior	week_8	-9.8	8	596.8	Exterior_week_8	Pig3	2	15
S310	P3E2-9	Exterior	week_9	-13.6	9	661.1	Exterior_week_9	Pig3	2	25
S321	P3E3-1	Exterior	week_1	7.7	1	22.9	Exterior_week_1	Pig3	3	2
S311	P3E3-10	Exterior	week_10	-14.6	10	794.3	Exterior_week_10	Pig3	3	30
S312	P3E3-11	Exterior	week_11	-13.1	11	895.3	Exterior_week_11	Pig3	3	40
S313	P3E3-12	Exterior	week_12	-8.3	12	991.2	Exterior_week_12	Pig3	3	50
S314	P3E3-13	Exterior	week_13	-7.6	13	1099.9	Exterior_week_13	Pig3	3	50
S315	P3E3-14	Exterior	week_14	-6.8	14	1208.7	Exterior_week_14	Pig3	3	65
S316	P3E3-15	Exterior	week_15	-9.9	15	1316.2	Exterior_week_15	Pig3	3	55
S317	P3E3-16	Exterior	week_16	-7.8	16	1377.7	Exterior_week_16	Pig3	3	55
S318	P3E3-17	Exterior	week_17	-8.3	17	1441	Exterior_week_17	Pig3	3	60
S319	P3E3-18	Exterior	week_18	-4.5	18	1421.2	Exterior_week_18	Pig3	3	10
S320	P3E3-19	Exterior	week_19	0	19	1437.5	Exterior_week_19	Pig3	3	0
S326	P3E3-2	Exterior	week_2	7.2	2	51.5	Exterior_week_2	Pig3	3	2
S322	P3E3-20	Exterior	week_20	2.5	20	1430.6	Exterior_week_20	Pig3	3	0
S323	P3E3-21	Exterior	week_21	-2.8	21	1420.1	Exterior_week_21	Pig3	3	20
S324	P3E3-22	Exterior	week_22	3.8	22	1441.4	Exterior_week_22	Pig3	3	5
S325	P3E3-23	Exterior	week_23	7	23	1436.3	Exterior_week_23	Pig3	3	0
S327	P3E3-3	Exterior	week_3	6	3	80.4	Exterior_week_3	Pig3	3	0
S328	P3E3-4	Exterior	week_4	5.6	4	129.7	Exterior_week_4	Pig3	3	2
S329	P3E3-5	Exterior	week_5	-7.8	5	228.9	Exterior_week_5	Pig3	3	5
S330	P3E3-6	Exterior	week_6	-7.6	6	282.7	Exterior_week_6	Pig3	3	5
S331	P3E3-7	Exterior	week_7	-10.3	7	452.4	Exterior_week_7	Pig3	3	7
S332	P3E3-8	Exterior	week_8	-9.8	8	596.8	Exterior_week_8	Pig3	3	15
S333	P3E3-9	Exterior	week_9	-13.6	9	661.1	Exterior_week_9	Pig3	3	25
S344	P3I1-1	Interior	week_1	7.7	1	22.9	Interior_week_1	Pig3	1	2
S334	P3I1-10	Interior	week_10	-14.6	10	794.3	Interior_week_10	Pig3	1	30
S335	P3I1-11	Interior	week_11	-13.1	11	895.3	Interior_week_11	Pig3	1	40
S336	P3I1-12	Interior	week_12	-8.3	12	991.2	Interior_week_12	Pig3	1	50
